yyyy,mo,dd,hh,mm,Par,Nir,LWdn,U,H2O,Ta,CO2,Trfall,Ts,hs,Kh,Lambda,T,W,h,Rn,H,LE,G,LWout,Fcapi,GPP,Respi
2005,6,1,0,15,0.0234561990946531,0.0600890778005123,352.836822509766,0.0561666153371334,0.0066148703917861,8.06047909932237,0.000393583177356049,0,8.01855373382568,-1.58000302314758,4.30529635379873e-14,0.139241680502892,7.64097166061401,9.96302700042725,-0.0305176358669996,0.495053142309189,-0.210894033312798,3.3773090839386,2.66462206840515,345.397125244141,0,-0.000588014139793813,0.013030432164669
2005,6,1,0,45,0.00781873241066933,0.0200296938419342,350.469482421875,0.0404862351715565,0.00659517478197813,7.58677602308068,0.000398003990994766,0,7.87044763565063,-1.58000588417053,4.30527534738163e-14,0.139020517468452,7.403480052948,9.93936157226563,-0.0308540258556604,-0.694082915782928,-0.0546984225511551,1.91904175281525,2.53238463401794,344.230072021484,0,-0.000380346202291548,0.0180020052939653
2005,6,1,1,15,0.0290487632155418,0.0744285210967064,348.764526367188,0.0424141511321068,0.00661466736346483,7.2451687314096,0.000397201714804396,0,7.72655773162842,-1.58000838756561,4.30525603503044e-14,0.138807237148285,7.14436054229736,9.91513252258301,-0.0312025994062424,-1.046013712883,-0.0335147939622402,1.96320104598999,2.94984245300293,342.960083007813,0,-0.00137841620016843,0.0177251677960157
2005,6,1,1,45,0.0349128134548664,0.089450791478157,348.20361328125,0.050896979868412,0.0066809207201004,7.12799416729998,0.00039552929229103,0,7.59677457809448,-1.58001089096069,4.3052374003056e-14,0.138616129755974,6.95281744003296,9.88443851470947,-0.0316503494977951,-0.64685982465744,-0.0762776657938957,2.49137353897095,3.03134202957153,342.023590087891,0,-0.00161274417769164,0.0174268260598183
2005,6,1,2,15,0.0459350533783436,0.117674447596073,347.867828369141,0.066577360033989,0.00672433897852898,7.04947293220326,0.000393862137570977,0,7.47294664382935,-1.58001339435577,4.30521910439394e-14,0.138434916734695,6.74300622940063,9.8396463394165,-0.0323163457214832,0.0707101225852966,-0.203164756298065,3.63383173942566,3.31730842590332,340.999969482422,0,-0.00207702862098813,0.017218453809619
2005,6,1,2,45,0.0361616387963295,0.0926373302936554,346.861938476563,0.0714614167809486,0.00671611027792096,6.83898331894488,0.000394326722016558,0,7.35322523117065,-1.58001577854156,4.30520114729546e-14,0.138260766863823,6.53805589675903,9.79141902923584,-0.0330505780875683,0.0587122775614262,-0.223401561379433,3.91277241706848,3.58632636070251,340.002288818359,0,-0.00159794208593667,0.0170007385313511
2005,6,1,3,15,0.0733006224036217,0.187778368592262,345.869293212891,0.068762332201004,0.00675674853846431,6.63190614285369,0.000394766568206251,0,7.24939012527466,-1.58001792430878,4.30518454544969e-14,0.138110518455505,6.40765905380249,9.7480001449585,-0.0337272807955742,-0.19659198820591,-0.156769961118698,3.52955651283264,3.53021383285522,339.36865234375,0,-0.00315654277801514,0.0167937092483044
2005,6,1,3,45,0.446427911520004,1.14362716674805,345.724243164063,0.060408029705286,0.00675575854256749,6.60329264004739,0.000395939889131114,0,7.19152736663818,-1.58002400398254,4.3051394832969e-14,0.13802707195282,6.48115539550781,9.71223640441895,-0.0342961326241493,0.159684270620346,-0.0704781636595726,2.92455506324768,2.66253018379211,339.725677490234,0,-0.0185178313404322,0.0166718494147062
2005,6,1,4,15,0.781935274600983,2.01142168045044,346.848449707031,0.066962942481041,0.00687328539788723,6.81887833682764,0.000394931499613449,0,7.17260122299194,-1.58003628253937,4.30504698729905e-14,0.137999698519707,6.61691856384277,9.67039680480957,-0.0349750854074955,1.37229430675507,-0.134912967681885,3.4274685382843,1.88208210468292,340.385925292969,0,-0.0320602208375931,0.016781210899353
2005,6,1,4,45,0.896501362323761,2.30646109580994,347.901702880859,0.0667058899998665,0.00694460701197386,7.01503645539031,0.000395758077502251,0,7.17777967453003,-1.58005094528198,4.30493721182909e-14,0.138006940484047,6.76185846328735,9.6284236907959,-0.0356711931526661,1.95914793014526,-0.167517140507698,3.43931841850281,1.27351057529449,341.091857910156,0,-0.0370553508400917,0.0169684682041407
2005,6,1,5,15,0.992110252380371,2.55905771255493,348.317626953125,0.0789160206913948,0.00708860671147704,7.08051888148221,0.000392685818951577,0,7.1726245880127,-1.58006739616394,4.30481422264515e-14,0.137999281287193,6.76669454574585,9.57568073272705,-0.0365677773952484,2.56321310997009,-0.271731555461884,4.30433320999146,1.41971409320831,341.115417480469,0,-0.0414220616221428,0.0171687733381987
2005,6,1,5,45,1.97611880302429,5.1125283241272,349.717864990234,0.0802012979984283,0.00723832473158836,7.36161220663403,0.000390318251447752,0,7.22256851196289,-1.58010399341583,4.3045404615966e-14,0.138070672750473,7.11625099182129,9.52028560638428,-0.037536546587944,4.50037813186646,-0.214488312602043,4.56487417221069,-0.204808220267296,342.822540283203,0,-0.0782375931739807,0.0172109510749578
2005,6,1,6,15,2.98046350479126,7.73727703094482,351.999298095703,0.102308072149754,0.00740860030055046,7.79320775129362,0.000388025335269049,0,7.30333280563354,-1.58015787601471,4.30413693510052e-14,0.138186529278755,7.4359884262085,9.43651485443115,-0.0390565432608128,7.49401998519897,-0.461690157651901,6.89227247238159,-1.15076649188995,344.3896484375,0,-0.116234481334686,0.0176722444593906
